round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4105,0.3958,0.5208,0.261,0.3409,0.5338,0.3958,0.5208,0.261,0.3409,0.5338,False
2,1.0,True,0.4783,0.6327,0.4486,0.2233,0.5156,0.5714,0.5142,0.4847,0.2421,0.4283,0.5526,False
3,1.0,True,0.7496,0.8075,0.9091,0.5149,0.7471,0.7692,0.612,0.6262,0.3331,0.5346,0.6248,False
4,1.0,True,0.6283,0.5421,0.8848,0.3643,0.5876,0.7626,0.6607,0.7475,0.3675,0.6168,0.7011,False
5,1.0,True,0.7873,0.9605,0.5703,0.96,0.6522,0.7937,0.77,0.7881,0.613,0.6623,0.7752,False
6,1.0,True,0.6054,0.6696,0.4777,0.3191,0.7426,0.8177,0.7241,0.6443,0.5478,0.6608,0.7913,False
7,1.0,True,0.8375,0.8889,0.7459,0.7805,0.9437,0.8286,0.8397,0.598,0.6865,0.7795,0.8133,False
8,1.0,True,0.8255,0.9467,0.951,0.3851,0.9103,0.9342,0.8351,0.7249,0.4949,0.8655,0.8602,False
9,1.0,True,0.7058,0.8621,0.5393,0.7317,0.6608,0.7353,0.8992,0.7454,0.6324,0.8383,0.8327,False
10,1.0,True,0.8471,0.9427,0.7708,0.8921,0.9299,0.7,0.9171,0.7537,0.6696,0.8337,0.7898,False
