round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.01,False,0.4223,0.4167,0.5214,0.2158,0.4201,0.5376,1.0,1.0,1.0,1.0,1.0,False
2,0.01,False,0.4487,0.3982,0.6047,0.2234,0.4632,0.5541,1.0,1.0,1.0,1.0,1.0,False
3,0.01,False,0.7611,0.8944,0.8841,0.5485,0.7059,0.7727,1.0,1.0,1.0,1.0,1.0,True
4,0.01,False,0.5846,0.6122,0.7971,0.2478,0.5198,0.7463,1.0,1.0,1.0,1.0,1.0,True
5,0.01,False,0.8689,0.9317,0.922,0.9051,0.7337,0.8523,1.0,1.0,1.0,1.0,1.0,True
6,0.01,False,0.6212,0.5208,0.7292,0.2956,0.8202,0.74,1.0,1.0,1.0,1.0,1.0,True
7,0.01,False,0.5518,0.5714,0.6239,0.4211,0.5714,0.5714,1.0,1.0,1.0,1.0,1.0,True
8,0.01,False,0.7862,0.9444,0.9595,0.284,0.8921,0.8511,1.0,1.0,1.0,1.0,1.0,True
9,0.01,False,0.7713,0.6186,0.7711,0.8193,0.9116,0.7358,1.0,1.0,1.0,1.0,1.0,True
10,0.01,False,0.9376,0.9796,0.9589,0.8889,0.9799,0.8806,1.0,1.0,1.0,1.0,1.0,True
11,0.01,False,0.5883,0.6098,0.8152,0.3319,0.7347,0.4498,1.0,1.0,1.0,1.0,1.0,True
12,0.01,False,0.5461,0.6022,0.8256,0.2474,0.55,0.5051,1.0,1.0,1.0,1.0,1.0,True
13,0.01,False,0.7552,0.8889,0.7069,0.5714,0.7805,0.8281,1.0,1.0,1.0,1.0,1.0,True
14,0.01,False,0.8008,0.8,0.8049,0.8345,0.8844,0.68,1.0,1.0,1.0,1.0,1.0,True
15,0.01,False,0.6051,0.5253,0.8315,0.2332,0.6306,0.8052,1.0,1.0,1.0,1.0,1.0,True
16,0.01,False,0.4331,0.4183,0.6131,0.1849,0.6047,0.3448,1.0,1.0,1.0,1.0,1.0,True
17,0.01,False,0.5186,0.4982,0.7531,0.1893,0.5761,0.5766,1.0,1.0,1.0,1.0,1.0,True
18,0.01,False,0.6597,0.9865,0.53,0.4865,0.7463,0.5495,1.0,1.0,1.0,1.0,1.0,True
19,0.01,False,0.533,0.5051,0.3906,0.8571,0.4465,0.4658,1.0,1.0,1.0,1.0,1.0,True
20,0.01,False,0.7464,0.7069,0.7643,0.6619,0.7101,0.8889,1.0,1.0,1.0,1.0,1.0,True
