round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4784,0.3989,0.7684,0.268,0.4207,0.5357,0.3989,0.7684,0.268,0.4207,0.5357,False
2,1.0,True,0.5095,0.4693,0.7338,0.1991,0.6826,0.4626,0.4341,0.7511,0.2336,0.5517,0.4992,False
3,1.0,True,0.7217,0.8605,0.9371,0.5,0.7632,0.5476,0.5762,0.8131,0.3224,0.6222,0.5153,True
4,1.0,True,0.6554,0.6186,0.72,0.4195,0.6098,0.9091,0.6494,0.797,0.3729,0.6852,0.6398,True
5,1.0,True,0.8371,0.8721,0.9412,0.9379,0.5703,0.8639,0.7837,0.8661,0.6191,0.6478,0.7735,True
6,1.0,True,0.5927,0.4886,0.6544,0.308,0.8824,0.6303,0.6597,0.7719,0.5552,0.6875,0.8011,True
7,1.0,True,0.8264,0.8971,0.7821,0.7288,0.75,0.974,0.7526,0.7925,0.6583,0.7342,0.8227,True
8,1.0,True,0.7585,0.9589,0.9306,0.2679,0.8889,0.7461,0.7815,0.789,0.4349,0.8404,0.7835,True
9,1.0,True,0.6762,0.6637,0.703,0.7957,0.4688,0.75,0.8399,0.8052,0.5975,0.7025,0.8234,True
10,1.0,True,0.8121,0.9299,0.8,0.9,0.7849,0.6457,0.8509,0.8112,0.6545,0.7142,0.714,True
11,1.0,True,0.5894,0.566,0.9673,0.3515,0.6757,0.3864,0.7199,0.8234,0.6824,0.6431,0.5941,True
12,1.0,True,0.5656,0.6257,0.7886,0.2486,0.6456,0.5196,0.7072,0.852,0.5001,0.7021,0.5172,True
13,1.0,True,0.924,0.9726,0.8971,0.8636,0.9583,0.9286,0.7214,0.8843,0.4879,0.7599,0.6115,True
14,1.0,True,0.7993,0.9351,0.6952,0.678,0.8929,0.7956,0.8445,0.7936,0.5967,0.8323,0.7479,True
15,1.0,True,0.5081,0.5362,0.5714,0.2795,0.5368,0.6167,0.8146,0.7212,0.607,0.796,0.7803,True
16,1.0,True,0.5244,0.5495,0.5301,0.2242,0.7107,0.6075,0.6736,0.5989,0.3939,0.7135,0.6733,True
17,1.0,True,0.5379,0.4651,0.6311,0.21,0.6897,0.6935,0.5169,0.5775,0.2379,0.6457,0.6392,True
18,1.0,True,0.7129,0.9799,0.5376,0.7701,0.75,0.5267,0.6648,0.5663,0.4015,0.7168,0.6092,True
19,1.0,True,0.5967,0.463,0.3529,0.75,0.9804,0.4373,0.636,0.5072,0.5767,0.8067,0.5525,True
20,1.0,True,0.8841,0.8636,0.9467,0.7176,0.8929,1.0,0.7688,0.6124,0.7459,0.8744,0.6547,True
