round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.01,True,0.4131,0.3916,0.519,0.2661,0.4673,0.4213,0.3916,0.519,0.2661,0.4673,0.4213,False
2,0.01,True,0.3421,0.4,0.2836,0.2077,0.4751,0.3443,0.3958,0.4013,0.2369,0.4712,0.3828,False
3,0.01,True,0.7414,0.9474,0.9193,0.5347,0.7665,0.5391,0.5797,0.574,0.3362,0.5696,0.4349,True
4,0.01,True,0.5577,0.5742,0.7571,0.3111,0.627,0.5192,0.6405,0.6533,0.3512,0.6229,0.4675,True
5,0.01,True,0.8694,0.9317,0.7042,0.929,0.8876,0.8944,0.8177,0.7935,0.5916,0.7604,0.6509,True
6,0.01,True,0.561,0.4777,0.5141,0.3036,0.7143,0.7953,0.6612,0.6585,0.5146,0.743,0.7363,True
7,0.01,True,0.5078,0.5714,0.3947,0.4299,0.5714,0.5714,0.6603,0.5377,0.5542,0.7244,0.7537,True
8,0.01,True,0.7998,0.951,0.9583,0.4981,0.8933,0.698,0.6667,0.6224,0.4105,0.7263,0.6882,True
9,0.01,True,0.6735,0.616,0.4982,0.7772,0.7208,0.7553,0.7128,0.6171,0.5684,0.7285,0.6749,True
10,0.01,True,0.8648,0.9351,0.7449,0.8824,0.8917,0.8701,0.834,0.7338,0.7192,0.8353,0.7745,True
11,0.01,True,0.591,0.5804,0.7614,0.301,0.7291,0.583,0.7105,0.6682,0.6535,0.7805,0.7361,True
12,0.01,True,0.5971,0.5957,0.9209,0.3766,0.5761,0.5161,0.7037,0.8091,0.52,0.7323,0.6564,True
13,0.01,True,0.8135,0.8806,0.8889,0.6607,0.8372,0.8,0.6856,0.8571,0.4461,0.7141,0.633,True
14,0.01,True,0.7215,0.8111,0.4934,0.8472,0.7487,0.7071,0.7625,0.7677,0.6282,0.7207,0.6744,True
15,0.01,True,0.6211,0.5525,0.8087,0.2064,0.8228,0.715,0.7481,0.7304,0.5715,0.8029,0.7407,True
16,0.01,True,0.4072,0.403,0.4496,0.1884,0.5816,0.4132,0.5889,0.5839,0.414,0.7177,0.6118,True
17,0.01,True,0.4706,0.4672,0.595,0.2039,0.511,0.5761,0.4742,0.6178,0.1996,0.6385,0.5681,True
18,0.01,True,0.8501,0.9865,1.0,0.8784,0.8108,0.5747,0.6189,0.6816,0.4236,0.6345,0.5214,True
19,0.01,True,0.512,0.4762,0.3484,0.8177,0.4225,0.495,0.6433,0.6478,0.6333,0.5815,0.5486,True
20,0.01,True,0.7507,0.7179,0.8,0.5556,0.791,0.8889,0.7269,0.7161,0.7505,0.6748,0.6529,True
