round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4023,0.4076,0.5166,0.1971,0.4034,0.487,0.4076,0.5166,0.1971,0.4034,0.487,False
2,1.0,True,0.587,0.5141,0.8503,0.2738,0.622,0.675,0.4608,0.6835,0.2355,0.5127,0.581,False
3,1.0,True,0.7756,0.9359,0.9143,0.5462,0.7273,0.7541,0.6192,0.7604,0.339,0.5842,0.6387,False
4,1.0,True,0.634,0.6218,0.8875,0.3944,0.5294,0.7368,0.6906,0.884,0.4048,0.6262,0.722,False
5,1.0,True,0.8707,0.9677,0.9437,0.8806,0.733,0.8287,0.8418,0.9151,0.6071,0.6632,0.7732,False
6,1.0,True,0.6328,0.5051,0.7742,0.3085,0.8571,0.7192,0.6982,0.8685,0.5278,0.7065,0.7616,False
7,1.0,True,0.9049,0.9437,1.0,0.8095,0.8806,0.8905,0.8055,0.906,0.6662,0.8236,0.8128,False
8,1.0,True,0.7892,0.951,0.9664,0.3009,0.8986,0.8289,0.7999,0.9135,0.473,0.8788,0.8129,False
9,1.0,True,0.8105,0.6329,0.838,0.8537,0.9427,0.7853,0.8425,0.9348,0.6547,0.9073,0.8349,False
10,1.0,True,0.9369,0.9664,0.9655,0.8889,0.9664,0.8971,0.8501,0.9233,0.6811,0.9359,0.8371,False
