round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,5.0,True,0.2966,0.2825,0.358,0.2918,0.2717,0.2788,0.2825,0.358,0.2918,0.2717,0.2788,False
2,5.0,True,0.3274,0.3165,0.3667,0.2863,0.3695,0.2982,0.2995,0.3624,0.289,0.3206,0.2885,False
3,5.0,True,0.3674,0.3409,0.4348,0.289,0.4532,0.3191,0.3133,0.3865,0.289,0.3648,0.2987,True
4,5.0,True,0.4009,0.3827,0.4601,0.2941,0.5415,0.3261,0.3467,0.4206,0.2898,0.4547,0.3145,True
5,5.0,True,0.4352,0.4155,0.5703,0.2982,0.5338,0.358,0.3797,0.4884,0.2938,0.5095,0.3344,True
6,5.0,True,0.4636,0.487,0.53,0.3043,0.6438,0.3529,0.4284,0.5202,0.2989,0.573,0.3457,True
7,5.0,True,0.4636,0.4644,0.5495,0.3036,0.6383,0.3623,0.4556,0.5499,0.302,0.6053,0.3578,True
8,5.0,True,0.4687,0.4399,0.6173,0.3049,0.6198,0.3614,0.4638,0.5656,0.3043,0.634,0.3589,True
9,5.0,True,0.494,0.53,0.5769,0.3049,0.6849,0.3731,0.4781,0.5812,0.3045,0.6477,0.3656,True
10,5.0,True,0.4855,0.4886,0.6173,0.3049,0.6438,0.3731,0.4862,0.6038,0.3049,0.6495,0.3692,True
11,5.0,True,0.4974,0.5208,0.6383,0.3055,0.6608,0.3614,0.5132,0.6108,0.3051,0.6632,0.3692,True
12,5.0,True,0.5133,0.5435,0.6098,0.3067,0.7353,0.3713,0.5176,0.6218,0.3057,0.68,0.3686,True
13,5.0,True,0.5092,0.5376,0.6329,0.3049,0.6849,0.3856,0.534,0.627,0.3057,0.6937,0.3728,True
14,5.0,True,0.5024,0.5376,0.5952,0.3055,0.6881,0.3856,0.5396,0.6126,0.3057,0.7028,0.3808,True
15,5.0,True,0.5153,0.5576,0.6438,0.3055,0.6818,0.3876,0.5443,0.624,0.3053,0.6849,0.3863,True
16,5.0,True,0.5031,0.5435,0.5792,0.3055,0.7143,0.3731,0.5462,0.6061,0.3055,0.6947,0.3821,True
17,5.0,True,0.4844,0.5435,0.5051,0.3061,0.6849,0.3827,0.5482,0.576,0.3057,0.6937,0.3811,True
18,5.0,True,0.4988,0.5455,0.5725,0.3055,0.655,0.4155,0.5441,0.5522,0.3057,0.6847,0.3904,True
19,5.0,True,0.4729,0.5769,0.4323,0.3061,0.6696,0.3797,0.5553,0.5033,0.3059,0.6699,0.3926,True
20,5.0,True,0.5031,0.5769,0.5639,0.3067,0.6637,0.4043,0.5664,0.5229,0.3061,0.6628,0.3999,True
