round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.1,True,0.3769,0.3538,0.4747,0.1791,0.5255,0.3513,0.3538,0.4747,0.1791,0.5255,0.3513,False
2,0.1,True,0.3927,0.3614,0.4845,0.2722,0.4599,0.3853,0.3576,0.4796,0.2256,0.4927,0.3683,False
3,0.1,True,0.7029,0.9412,0.9726,0.3093,0.6599,0.6316,0.5521,0.6439,0.2535,0.5484,0.4561,False
4,0.1,True,0.5883,0.5854,0.4952,0.2793,0.7179,0.8636,0.6293,0.6508,0.2869,0.6126,0.6268,False
5,0.1,True,0.8074,0.7317,0.7282,0.8462,0.9202,0.8108,0.7527,0.732,0.4782,0.766,0.7687,False
6,0.1,True,0.554,0.5051,0.5882,0.3158,0.6912,0.6697,0.6074,0.6039,0.4804,0.7765,0.7814,False
7,0.1,True,0.5053,0.5714,0.4478,0.4211,0.5714,0.5149,0.6027,0.5881,0.5277,0.7276,0.6651,False
8,0.1,True,0.76,0.9589,0.5714,0.4854,0.9012,0.8828,0.6785,0.5358,0.4074,0.7213,0.6891,False
9,0.1,True,0.6905,0.5863,0.5635,0.85,0.6636,0.7889,0.7056,0.5276,0.5855,0.7121,0.7288,False
10,0.1,True,0.7915,0.8222,0.8409,0.8889,0.6904,0.715,0.7892,0.6586,0.7414,0.7517,0.7956,False
