round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,5.0,True,0.2966,0.2825,0.358,0.2918,0.2717,0.2788,0.2825,0.358,0.2918,0.2717,0.2788,False
2,5.0,True,0.3274,0.3165,0.3667,0.2863,0.3695,0.2982,0.2995,0.3624,0.289,0.3206,0.2885,False
3,5.0,True,0.3665,0.3401,0.4438,0.2896,0.4412,0.3178,0.313,0.3895,0.2892,0.3608,0.2983,False
4,5.0,True,0.401,0.3846,0.4587,0.2947,0.5396,0.3275,0.3471,0.4231,0.2902,0.4501,0.3145,False
5,5.0,True,0.4365,0.4167,0.5725,0.2994,0.5357,0.358,0.3805,0.4917,0.2946,0.5055,0.3344,False
6,5.0,True,0.4639,0.4886,0.53,0.3043,0.6438,0.3529,0.43,0.5204,0.2995,0.573,0.3461,False
7,5.0,True,0.4641,0.4644,0.5515,0.3043,0.6383,0.3623,0.4566,0.5513,0.3026,0.6059,0.3578,False
8,5.0,True,0.4687,0.4399,0.6173,0.3049,0.6198,0.3614,0.4643,0.5663,0.3045,0.634,0.3589,False
9,5.0,True,0.4944,0.53,0.5792,0.3049,0.6849,0.3731,0.4781,0.5826,0.3047,0.6477,0.3656,False
10,5.0,True,0.4852,0.487,0.6173,0.3049,0.6438,0.3731,0.4856,0.6046,0.3049,0.6495,0.3692,False
