round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4098,0.3866,0.465,0.265,0.409,0.5234,0.3866,0.465,0.265,0.409,0.5234,False
2,1.0,True,0.6135,0.4332,0.6078,0.7568,0.6517,0.618,0.4099,0.5364,0.5109,0.5303,0.5707,False
3,1.0,True,0.7357,0.9241,0.8072,0.3922,0.9051,0.6497,0.5813,0.6267,0.4713,0.6553,0.5971,True
4,1.0,True,0.6931,0.6061,0.9452,0.4478,0.6982,0.768,0.6544,0.7868,0.5322,0.7517,0.6786,True
5,1.0,True,0.854,0.8523,0.5556,0.9379,0.9796,0.9444,0.7941,0.7693,0.5926,0.861,0.7874,True
6,1.0,True,0.5516,0.4505,0.5906,0.2966,0.6522,0.7684,0.6363,0.6971,0.5608,0.7767,0.827,True
7,1.0,True,0.8762,0.9286,0.7735,0.8462,0.8889,0.9437,0.7438,0.6399,0.6936,0.8402,0.8855,True
8,1.0,True,0.7874,0.9583,1.0,0.251,0.8493,0.8784,0.7791,0.788,0.4646,0.7968,0.8635,True
9,1.0,True,0.7203,0.6466,0.6058,0.7614,0.7725,0.8152,0.8445,0.7931,0.6195,0.8369,0.8791,True
10,1.0,True,0.7474,0.9419,0.625,0.5714,0.8971,0.7016,0.8489,0.7436,0.528,0.8396,0.7984,True
