round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1000000000.0,True,0.2881,0.2924,0.3247,0.2747,0.2747,0.2742,0.2924,0.3247,0.2747,0.2747,0.2742,False
2,1000000000.0,True,0.3273,0.3275,0.3979,0.2896,0.3282,0.2935,0.31,0.3613,0.2822,0.3015,0.2839,False
3,1000000000.0,True,0.3706,0.358,0.4717,0.2947,0.4167,0.3119,0.326,0.3981,0.2863,0.3399,0.2932,False
4,1000000000.0,True,0.3987,0.3927,0.4934,0.3,0.4792,0.3282,0.3594,0.4543,0.2948,0.408,0.3112,False
5,1000000000.0,True,0.4306,0.419,0.5357,0.303,0.5576,0.3378,0.3899,0.5003,0.2992,0.4845,0.326,False
6,1000000000.0,True,0.4471,0.4386,0.5515,0.3043,0.5906,0.3505,0.4168,0.5269,0.3024,0.5425,0.3388,False
7,1000000000.0,True,0.4615,0.4615,0.5639,0.3049,0.6198,0.3571,0.4397,0.5504,0.3041,0.5893,0.3485,False
8,1000000000.0,True,0.4732,0.487,0.5769,0.3049,0.6356,0.3614,0.4624,0.5641,0.3047,0.6153,0.3564,False
9,1000000000.0,True,0.4801,0.4967,0.5859,0.3055,0.6466,0.3659,0.4817,0.5756,0.3051,0.634,0.3615,False
10,1000000000.0,True,0.4865,0.5068,0.5882,0.3055,0.6608,0.3713,0.4968,0.5837,0.3053,0.6476,0.3662,False
