round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.01,True,0.4213,0.3817,0.5474,0.2008,0.4167,0.5597,0.3817,0.5474,0.2008,0.4167,0.5597,False
2,0.01,True,0.3941,0.3237,0.4458,0.2886,0.5093,0.403,0.3527,0.4966,0.2447,0.463,0.4813,False
3,0.01,True,0.6766,0.8219,0.648,0.4587,0.6522,0.8023,0.5091,0.5471,0.316,0.5261,0.5883,True
4,0.01,True,0.7001,0.8276,0.9868,0.245,0.6984,0.7424,0.6577,0.6936,0.3308,0.62,0.6492,True
5,0.01,True,0.7243,0.7463,0.6148,0.8889,0.5976,0.7742,0.7986,0.7499,0.5309,0.6494,0.773,True
6,0.01,True,0.5626,0.4702,0.5495,0.3125,0.8571,0.6239,0.6814,0.717,0.4821,0.7177,0.7135,True
7,0.01,True,0.4528,0.5714,0.4286,0.4375,0.2759,0.5505,0.596,0.5309,0.5463,0.5769,0.6495,True
8,0.01,True,0.8538,0.951,0.9933,0.5536,0.882,0.8889,0.6642,0.6571,0.4345,0.6717,0.6878,True
9,0.01,True,0.5996,0.6239,0.5569,0.8202,0.2832,0.7136,0.7155,0.6596,0.6038,0.4803,0.7176,True
10,0.01,True,0.7827,0.9865,0.652,0.8806,0.7337,0.6607,0.8538,0.734,0.7515,0.6329,0.7544,True
11,0.01,True,0.5471,0.5783,0.7042,0.3099,0.6516,0.4917,0.7296,0.6377,0.6702,0.5561,0.622,True
12,0.01,True,0.3252,0.2143,0.0,0.2468,0.6456,0.5193,0.593,0.4521,0.4791,0.6769,0.5572,True
13,0.01,True,0.7693,0.8806,0.8889,0.4211,0.8372,0.8189,0.5577,0.531,0.3259,0.7115,0.61,True
14,0.01,True,0.7301,0.8,0.5837,0.8108,0.863,0.5929,0.6316,0.4908,0.4929,0.7819,0.6437,True
15,0.01,True,0.4459,0.4643,0.6884,0.1717,0.614,0.2913,0.715,0.7203,0.4679,0.7714,0.5677,True
16,0.01,True,0.38,0.4494,0.5023,0.185,0.4706,0.2929,0.5712,0.5915,0.3892,0.6492,0.3924,True
17,0.01,True,0.459,0.4962,0.6273,0.2564,0.3516,0.5633,0.47,0.606,0.2044,0.4788,0.3825,True
18,0.01,True,0.7412,0.8971,0.9051,0.5018,0.7692,0.6329,0.6142,0.6782,0.3144,0.5305,0.4964,True
19,0.01,True,0.5974,0.4747,0.3448,0.8554,0.8721,0.4399,0.6227,0.6257,0.5379,0.6643,0.5454,True
20,0.01,True,0.5708,0.2143,0.3696,0.625,0.7643,0.8806,0.5287,0.5398,0.6607,0.8019,0.6511,True
