round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.5,True,0.3932,0.3778,0.5682,0.2231,0.4123,0.3846,0.3778,0.5682,0.2231,0.4123,0.3846,False
2,0.5,True,0.3776,0.3237,0.6182,0.2417,0.4195,0.2849,0.3508,0.5932,0.2324,0.4159,0.3348,False
3,0.5,True,0.7253,0.8876,0.8,0.6777,0.6667,0.5944,0.5297,0.6621,0.3808,0.4995,0.4213,True
4,0.5,True,0.5898,0.6767,0.9286,0.3045,0.5778,0.4615,0.6293,0.7823,0.408,0.5547,0.4469,True
5,0.5,True,0.6823,0.7426,0.5415,0.9362,0.6881,0.5034,0.7689,0.7567,0.6395,0.6442,0.5198,True
6,0.5,True,0.6217,0.4702,0.9542,0.3043,0.8023,0.5773,0.6298,0.8081,0.515,0.6894,0.5141,True
7,0.5,True,0.6198,0.6111,0.7333,0.6239,0.5714,0.5593,0.608,0.743,0.6214,0.6873,0.5467,True
8,0.5,True,0.8206,0.9444,0.9554,0.6145,0.9281,0.6607,0.6753,0.881,0.5142,0.7673,0.5991,True
9,0.5,True,0.7075,0.6083,0.7442,0.7732,0.7514,0.6605,0.7213,0.811,0.6705,0.7503,0.6268,True
10,0.5,True,0.7877,0.9801,0.5769,0.855,0.7619,0.7644,0.8443,0.7588,0.7475,0.8138,0.6952,True
