epsilon,display_epsilon,pre_fed_mean_f1,post_fed_mean_f1,mean_improvement,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,min_viable
0.01,0.01,0.4801,0.9376,0.4574,0.9796,0.9589,0.8889,0.9799,0.8806,True
0.1,0.1,0.4801,0.9363,0.4561,0.9796,0.9589,0.8889,0.9733,0.8806,False
0.5,0.5,0.4801,0.9363,0.4561,0.9796,0.9589,0.8889,0.9733,0.8806,False
1.0,1.0,0.4801,0.9369,0.4567,0.9664,0.9655,0.8889,0.9664,0.8971,False
5.0,5.0,0.4801,0.4852,0.0051,0.487,0.6173,0.3049,0.6438,0.3731,False
inf,inf (no DP),0.4801,0.4865,0.0064,0.5068,0.5882,0.3055,0.6608,0.3713,False
