round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4957,0.4098,0.7853,0.249,0.4505,0.5837,0.4098,0.7853,0.249,0.4505,0.5837,False
2,1.0,True,0.609,0.8188,0.8056,0.2411,0.5176,0.662,0.6143,0.7954,0.245,0.484,0.6228,False
3,1.0,True,0.6916,0.7362,0.7794,0.3628,0.882,0.6977,0.6549,0.7901,0.2843,0.6167,0.6478,False
4,1.0,True,0.5797,0.4915,0.8148,0.4549,0.5634,0.5739,0.6822,0.7999,0.353,0.6543,0.6445,False
5,1.0,True,0.9067,0.9726,0.7009,0.922,0.9796,0.9583,0.7334,0.7651,0.5799,0.8083,0.7433,False
6,1.0,True,0.6898,0.838,0.7737,0.3142,0.5859,0.9371,0.7674,0.7632,0.5637,0.7096,0.8231,False
7,1.0,True,0.8562,0.8722,0.9286,0.8,0.9,0.7805,0.8943,0.8011,0.6787,0.8218,0.892,False
8,1.0,True,0.7572,0.9467,1.0,0.1935,0.922,0.7237,0.8856,0.9008,0.4359,0.8026,0.8137,False
9,1.0,True,0.7687,0.8571,0.5437,0.7426,0.7273,0.9726,0.892,0.8241,0.5787,0.8498,0.8256,False
10,1.0,True,0.8328,0.8861,0.655,0.8936,0.8201,0.9091,0.8966,0.7329,0.6099,0.8231,0.8685,False
