round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4157,0.4032,0.5102,0.2661,0.4505,0.4485,0.4032,0.5102,0.2661,0.4505,0.4485,False
2,1.0,True,0.5024,0.4861,0.8462,0.2212,0.5351,0.4235,0.4446,0.6782,0.2437,0.4928,0.436,False
3,1.0,True,0.7609,0.9333,0.759,0.6063,0.9114,0.5946,0.6075,0.7051,0.3646,0.6323,0.4889,False
4,1.0,True,0.6414,0.5825,0.9427,0.3446,0.5654,0.7717,0.6673,0.8493,0.3907,0.6706,0.5966,False
5,1.0,True,0.8292,0.9259,0.5639,0.9351,0.9583,0.7629,0.8139,0.7552,0.6287,0.8117,0.7097,False
6,1.0,True,0.5816,0.4464,0.8987,0.3086,0.5714,0.6826,0.6516,0.8018,0.5294,0.6984,0.7391,False
7,1.0,True,0.8743,0.913,0.9655,0.8095,0.913,0.7705,0.7618,0.8094,0.6844,0.8143,0.7387,False
8,1.0,True,0.7967,0.9589,0.9868,0.3442,0.9286,0.765,0.7728,0.9504,0.4875,0.8043,0.7394,False
9,1.0,True,0.7559,0.6667,0.8889,0.7576,0.686,0.7805,0.8462,0.9471,0.6371,0.8425,0.772,False
10,1.0,True,0.7973,0.9412,0.655,0.8921,0.7805,0.7179,0.8556,0.8436,0.6646,0.7983,0.7545,False
