round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.3802,0.4298,0.3676,0.2055,0.3363,0.5615,0.4298,0.3676,0.2055,0.3363,0.5615,False
2,1.0,True,0.5475,0.7826,0.57,0.2136,0.4832,0.6879,0.6062,0.4688,0.2095,0.4098,0.6247,False
3,1.0,True,0.7295,0.8608,0.6184,0.719,0.8066,0.6429,0.6911,0.5187,0.3793,0.5421,0.6308,True
4,1.0,True,0.5563,0.5455,0.8857,0.2743,0.5854,0.4909,0.7296,0.6914,0.4023,0.6251,0.6072,True
5,1.0,True,0.8337,0.9933,0.6637,0.8531,0.7075,0.951,0.7998,0.7226,0.6155,0.6998,0.6949,True
6,1.0,True,0.5811,0.53,0.6494,0.3348,0.5769,0.8143,0.6896,0.7329,0.4874,0.6233,0.7521,True
7,1.0,True,0.8458,0.9286,0.7665,0.7737,0.9054,0.855,0.8173,0.6932,0.6539,0.73,0.8734,True
8,1.0,True,0.7776,0.9286,0.9933,0.3492,0.9315,0.6854,0.7957,0.803,0.4859,0.8046,0.7849,True
9,1.0,True,0.7286,0.7075,0.6368,0.8249,0.6849,0.7889,0.8549,0.7988,0.6493,0.8406,0.7764,True
10,1.0,True,0.8451,0.8889,0.7255,0.9014,0.929,0.7805,0.8417,0.7852,0.6918,0.8485,0.7516,True
11,1.0,True,0.5531,0.5474,0.7115,0.3043,0.7136,0.4886,0.7146,0.6913,0.6768,0.7758,0.686,True
12,1.0,True,0.5883,0.4889,0.8971,0.5,0.5641,0.4915,0.6417,0.778,0.5686,0.7356,0.5869,True
13,1.0,True,0.8799,0.9437,0.9726,0.6486,0.9796,0.855,0.66,0.8604,0.4843,0.7524,0.6117,True
14,1.0,True,0.7558,0.9167,0.6109,0.8613,0.7129,0.6772,0.7831,0.8268,0.67,0.7522,0.6745,True
15,1.0,True,0.602,0.5668,0.9548,0.1974,0.8712,0.4196,0.8091,0.8461,0.5691,0.8545,0.6506,True
16,1.0,True,0.4903,0.566,0.5967,0.2541,0.5377,0.4969,0.6832,0.7208,0.4376,0.7073,0.5312,True
17,1.0,True,0.5012,0.5267,0.6218,0.3264,0.4615,0.5697,0.5532,0.7244,0.2593,0.6235,0.4954,True
18,1.0,True,0.7351,0.9036,0.8475,0.5849,0.8876,0.4518,0.6655,0.6886,0.3885,0.6289,0.5061,True
19,1.0,True,0.517,0.4658,0.3099,0.766,0.4155,0.6276,0.6321,0.593,0.5591,0.5882,0.5497,True
20,1.0,True,0.8627,0.9125,0.9286,0.5714,0.9286,0.9726,0.7607,0.6953,0.6408,0.7439,0.684,True
