round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4164,0.4021,0.4854,0.2429,0.4307,0.5208,0.4021,0.4854,0.2429,0.4307,0.5208,False
2,1.0,True,0.5827,0.7547,0.7816,0.2604,0.6772,0.4394,0.5784,0.6335,0.2517,0.554,0.4801,False
3,1.0,True,0.7854,0.7547,0.9252,0.8286,0.7784,0.64,0.6372,0.7307,0.444,0.6288,0.5334,False
4,1.0,True,0.5982,0.5156,0.8444,0.3166,0.5989,0.7154,0.675,0.8504,0.4685,0.6849,0.5983,False
5,1.0,True,0.854,0.9865,0.7538,0.951,0.7282,0.8506,0.7523,0.8411,0.6987,0.7018,0.7353,False
6,1.0,True,0.6762,0.8287,0.6325,0.3,0.8671,0.7526,0.7769,0.7436,0.5226,0.7314,0.7729,False
7,1.0,True,0.8677,0.8722,0.7702,0.791,0.9655,0.9396,0.8958,0.7188,0.6807,0.8536,0.8476,False
8,1.0,True,0.8058,0.9737,0.9474,0.4758,0.8571,0.7752,0.8915,0.7833,0.5223,0.8966,0.8225,False
9,1.0,True,0.7494,0.8475,0.7164,0.7576,0.6757,0.75,0.8978,0.8113,0.6748,0.8328,0.8216,False
10,1.0,True,0.807,0.8712,0.7363,0.8759,0.7935,0.7579,0.8974,0.8,0.7031,0.7754,0.761,False
