round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4389,0.4144,0.6094,0.2659,0.3713,0.5333,0.4144,0.6094,0.2659,0.3713,0.5333,False
2,1.0,True,0.6221,0.8,0.777,0.2482,0.5846,0.7006,0.6072,0.6932,0.2571,0.478,0.617,False
3,1.0,True,0.7222,0.7692,0.8921,0.511,0.7485,0.69,0.6612,0.7595,0.3417,0.5681,0.6413,True
4,1.0,True,0.6696,0.5357,0.8889,0.3887,0.75,0.7846,0.7016,0.8527,0.3826,0.6944,0.7251,True
5,1.0,True,0.8428,0.9796,0.838,0.9231,0.5357,0.9375,0.7615,0.873,0.6076,0.6781,0.804,True
6,1.0,True,0.7108,0.7246,0.9167,0.3006,0.8722,0.74,0.7466,0.8812,0.5374,0.7193,0.8207,True
7,1.0,True,0.7884,0.8806,0.8806,0.7069,0.5849,0.8889,0.8616,0.8784,0.6435,0.6643,0.8555,True
8,1.0,True,0.8448,0.9804,0.9867,0.4842,0.9296,0.8434,0.8619,0.928,0.4972,0.7956,0.8241,True
9,1.0,True,0.7548,0.8721,0.8806,0.7246,0.4681,0.8287,0.911,0.916,0.6386,0.6609,0.8537,True
10,1.0,True,0.8266,0.8284,0.9673,0.8889,0.7684,0.6802,0.8936,0.9449,0.6992,0.722,0.7841,True
