round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.3921,0.411,0.3741,0.2609,0.4688,0.4458,0.411,0.3741,0.2609,0.4688,0.4458,False
2,1.0,True,0.5561,0.4878,0.7949,0.2725,0.6701,0.555,0.4494,0.5845,0.2667,0.5694,0.5004,False
3,1.0,True,0.8293,0.9231,0.8986,0.5843,0.8219,0.9189,0.6073,0.6892,0.3725,0.6536,0.6399,False
4,1.0,True,0.5811,0.5882,0.7606,0.3148,0.4526,0.7891,0.6664,0.818,0.3905,0.6482,0.7544,False
5,1.0,True,0.8973,0.9934,0.7009,0.9595,0.8902,0.9427,0.8349,0.7867,0.6195,0.7216,0.8836,False
6,1.0,True,0.5832,0.4438,0.8606,0.3049,0.7746,0.5319,0.6751,0.774,0.5264,0.7058,0.7546,False
7,1.0,True,0.8736,0.9209,0.9362,0.7705,0.913,0.8276,0.786,0.8326,0.6783,0.8593,0.7674,False
8,1.0,True,0.8252,0.951,0.9536,0.5833,0.7395,0.8986,0.7719,0.9168,0.5529,0.809,0.7527,False
9,1.0,True,0.7436,0.6726,0.8202,0.7692,0.8202,0.6356,0.8482,0.9033,0.7077,0.8243,0.7872,False
10,1.0,True,0.8796,0.9524,0.8409,0.8636,0.8372,0.9041,0.8587,0.8716,0.7387,0.799,0.8128,False
