round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4159,0.4144,0.5017,0.1585,0.4277,0.5774,0.4144,0.5017,0.1585,0.4277,0.5774,False
2,1.0,True,0.6477,0.8133,0.8415,0.1979,0.7059,0.68,0.6138,0.6716,0.1782,0.5668,0.6287,False
3,1.0,True,0.7401,0.7453,0.9209,0.3493,0.8824,0.8025,0.6577,0.7547,0.2352,0.672,0.6866,False
4,1.0,True,0.6101,0.4979,0.9333,0.2632,0.5955,0.7606,0.6855,0.8986,0.2701,0.7279,0.7477,False
5,1.0,True,0.9393,0.9726,0.9193,0.8889,0.9796,0.9362,0.7386,0.9245,0.5005,0.8192,0.8331,False
6,1.0,True,0.6477,0.8333,0.6637,0.3125,0.8242,0.6048,0.7679,0.8388,0.4882,0.7998,0.7672,False
7,1.0,True,0.8374,0.8722,0.8287,0.7069,0.8889,0.8905,0.8927,0.8039,0.6361,0.8976,0.8105,False
8,1.0,True,0.8175,0.9467,0.9733,0.4416,0.863,0.8627,0.8841,0.8219,0.487,0.8587,0.786,False
9,1.0,True,0.7921,0.8475,0.6608,0.8249,0.8848,0.7426,0.8888,0.821,0.6578,0.8789,0.8319,False
10,1.0,True,0.8607,0.875,0.7243,0.8824,0.9155,0.9065,0.8897,0.7862,0.7163,0.8878,0.8373,False
