round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.3783,0.3947,0.3505,0.2406,0.4869,0.419,0.3947,0.3505,0.2406,0.4869,0.419,False
2,1.0,True,0.4177,0.4286,0.3677,0.2034,0.5852,0.5036,0.4117,0.3591,0.222,0.536,0.4613,False
3,1.0,True,0.698,0.9241,0.9595,0.3745,0.5714,0.6607,0.5825,0.5592,0.2728,0.5478,0.5278,True
4,1.0,True,0.6083,0.6186,0.7945,0.2413,0.5991,0.7879,0.6571,0.7072,0.2731,0.5852,0.6507,True
5,1.0,True,0.7617,1.0,0.6356,0.6429,0.951,0.5792,0.8475,0.7965,0.4195,0.7072,0.6759,True
6,1.0,True,0.5587,0.4335,0.5102,0.3364,0.7538,0.7598,0.684,0.6468,0.4068,0.768,0.7089,True
7,1.0,True,0.8006,0.913,0.6064,0.5865,0.8971,1.0,0.7822,0.5841,0.5219,0.8673,0.7796,True
8,1.0,True,0.7724,0.9362,0.9796,0.3805,0.8421,0.7237,0.7609,0.6987,0.4344,0.831,0.8278,True
9,1.0,True,0.6829,0.6727,0.4982,0.6833,0.7449,0.8152,0.8406,0.6947,0.5501,0.828,0.8463,True
10,1.0,True,0.7785,0.9524,0.7513,0.8652,0.5283,0.7955,0.8538,0.743,0.643,0.7051,0.7781,True
