round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.3754,0.4144,0.4011,0.2648,0.4132,0.3836,0.4144,0.4011,0.2648,0.4132,0.3836,False
2,1.0,True,0.5592,0.8,0.4848,0.2432,0.5579,0.7101,0.6072,0.443,0.254,0.4856,0.5468,False
3,1.0,True,0.7072,0.7843,0.7957,0.4567,0.8521,0.6473,0.6662,0.5605,0.3216,0.6077,0.5803,False
4,1.0,True,0.6664,0.5357,0.9136,0.4504,0.6105,0.8219,0.7067,0.7314,0.3835,0.6735,0.7264,False
5,1.0,True,0.8471,0.9796,0.5703,0.9306,0.8621,0.8929,0.7665,0.7599,0.6126,0.7749,0.7874,False
6,1.0,True,0.5511,0.7042,0.5172,0.3018,0.625,0.6073,0.7398,0.6671,0.5609,0.6992,0.774,False
7,1.0,True,0.8721,0.8806,0.7978,0.8462,0.913,0.9231,0.8548,0.6285,0.6928,0.8,0.8077,False
8,1.0,True,0.769,0.9804,0.9796,0.2083,0.8904,0.7865,0.8551,0.7649,0.4521,0.8095,0.7723,False
9,1.0,True,0.7096,0.8671,0.5407,0.7282,0.673,0.7389,0.9093,0.7727,0.5942,0.8255,0.8162,False
10,1.0,True,0.8281,0.8284,0.6981,0.8696,0.9281,0.8163,0.8919,0.7395,0.602,0.8305,0.7806,False
