round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.5,True,0.4142,0.4144,0.5115,0.2199,0.4201,0.5051,0.4144,0.5115,0.2199,0.4201,0.5051,False
2,0.5,True,0.4565,0.393,0.6667,0.2183,0.4526,0.5517,0.4037,0.5891,0.2191,0.4364,0.5284,False
3,0.5,True,0.7673,0.9114,0.8841,0.5603,0.7143,0.7667,0.5729,0.6874,0.3328,0.529,0.6078,False
4,0.5,True,0.5106,0.5189,0.8058,0.2407,0.3875,0.6,0.6078,0.7855,0.3398,0.5181,0.6395,False
5,0.5,True,0.8616,0.9494,0.922,0.8722,0.7358,0.8287,0.7932,0.8706,0.5578,0.6125,0.7318,False
6,0.5,True,0.6273,0.5085,0.7527,0.3,0.8391,0.7363,0.6589,0.8268,0.471,0.6541,0.7217,False
7,0.5,True,0.6504,0.6486,0.75,0.5981,0.5714,0.6838,0.7022,0.8082,0.5901,0.7154,0.7496,False
8,0.5,True,0.7881,0.951,0.9664,0.2814,0.9,0.8414,0.7027,0.823,0.3932,0.7702,0.7538,False
9,0.5,True,0.7727,0.6213,0.7407,0.8485,0.9054,0.7474,0.7403,0.8191,0.576,0.7923,0.7575,False
10,0.5,True,0.9363,0.9796,0.9589,0.8889,0.9733,0.8806,0.8506,0.8887,0.6729,0.9262,0.8231,False
