round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4283,0.4327,0.566,0.2408,0.5201,0.3817,0.4327,0.566,0.2408,0.5201,0.3817,False
2,1.0,True,0.5631,0.5413,0.8774,0.266,0.5297,0.6011,0.487,0.7217,0.2534,0.5249,0.4914,False
3,1.0,True,0.7724,0.8054,0.9379,0.4404,0.8742,0.8043,0.5931,0.7938,0.3157,0.6413,0.5957,True
4,1.0,True,0.618,0.5347,0.9362,0.2322,0.6024,0.7846,0.6271,0.9172,0.3129,0.6688,0.73,True
5,1.0,True,0.7346,0.9351,0.5747,0.7805,0.6881,0.6944,0.7584,0.8163,0.4844,0.7216,0.7611,True
6,1.0,True,0.5885,0.5714,0.7629,0.2628,0.6728,0.6727,0.6804,0.7579,0.4252,0.6544,0.7173,True
7,1.0,True,0.8477,0.855,0.9091,0.7395,0.9155,0.8194,0.7872,0.7489,0.5943,0.7588,0.7289,True
8,1.0,True,0.8117,0.951,0.9262,0.323,0.9146,0.9437,0.7925,0.8661,0.4418,0.8343,0.8119,True
9,1.0,True,0.7226,0.929,0.7895,0.5636,0.6457,0.6849,0.9117,0.8749,0.5421,0.8253,0.816,True
10,1.0,True,0.8398,0.9801,0.6787,0.9,0.809,0.8312,0.9534,0.7981,0.5956,0.7898,0.8199,True
