round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4064,0.4189,0.6615,0.1871,0.4537,0.3106,0.4189,0.6615,0.1871,0.4537,0.3106,False
2,1.0,True,0.5583,0.7273,0.7805,0.2464,0.6519,0.3852,0.5731,0.721,0.2168,0.5528,0.3479,False
3,1.0,True,0.7243,0.8138,0.7752,0.705,0.6812,0.6463,0.6533,0.7391,0.3795,0.5956,0.4474,True
4,1.0,True,0.6403,0.5498,0.951,0.2711,0.5591,0.8706,0.6969,0.8356,0.4075,0.6307,0.634,True
5,1.0,True,0.8369,0.9726,0.8462,0.9286,0.9286,0.5085,0.7787,0.8575,0.6349,0.723,0.6751,True
6,1.0,True,0.6725,0.7463,0.9595,0.3061,0.8163,0.5343,0.7562,0.9189,0.5019,0.768,0.6378,True
7,1.0,True,0.8453,0.8636,0.8889,0.7313,0.8281,0.9146,0.8608,0.8982,0.6553,0.8577,0.6525,True
8,1.0,True,0.8592,0.9655,0.9494,0.4851,0.9231,0.973,0.8585,0.9326,0.5075,0.8558,0.8073,True
9,1.0,True,0.7572,0.8982,0.8889,0.8152,0.5714,0.6122,0.9091,0.909,0.6772,0.7742,0.8333,True
10,1.0,True,0.8124,0.973,0.699,0.8824,0.766,0.7419,0.9456,0.8458,0.7275,0.7535,0.7757,True
