round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,False,0.4023,0.4076,0.5166,0.1971,0.4034,0.487,1.0,1.0,1.0,1.0,1.0,False
2,1.0,False,0.5879,0.5141,0.8503,0.278,0.622,0.675,1.0,1.0,1.0,1.0,1.0,False
3,1.0,False,0.7756,0.9359,0.9143,0.5462,0.7273,0.7541,1.0,1.0,1.0,1.0,1.0,False
4,1.0,False,0.634,0.6218,0.8875,0.3944,0.5294,0.7368,1.0,1.0,1.0,1.0,1.0,False
5,1.0,False,0.8707,0.9677,0.9437,0.8806,0.733,0.8287,1.0,1.0,1.0,1.0,1.0,False
6,1.0,False,0.6328,0.5051,0.7742,0.3085,0.8571,0.7192,1.0,1.0,1.0,1.0,1.0,False
7,1.0,False,0.9049,0.9437,1.0,0.8095,0.8806,0.8905,1.0,1.0,1.0,1.0,1.0,False
8,1.0,False,0.7892,0.951,0.9664,0.3009,0.8986,0.8289,1.0,1.0,1.0,1.0,1.0,False
9,1.0,False,0.8105,0.6329,0.838,0.8537,0.9427,0.7853,1.0,1.0,1.0,1.0,1.0,False
10,1.0,False,0.9369,0.9664,0.9655,0.8889,0.9664,0.8971,1.0,1.0,1.0,1.0,1.0,False
