round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.3763,0.3989,0.4918,0.1699,0.4412,0.3797,0.3989,0.4918,0.1699,0.4412,0.3797,False
2,1.0,True,0.5728,0.7643,0.8121,0.2581,0.5662,0.4633,0.5816,0.652,0.214,0.5037,0.4215,False
3,1.0,True,0.7266,0.8511,0.8816,0.4719,0.7458,0.6827,0.6714,0.7285,0.2999,0.5844,0.5086,False
4,1.0,True,0.6172,0.554,0.8636,0.2896,0.597,0.782,0.7231,0.8524,0.3398,0.6363,0.6427,False
5,1.0,True,0.8316,0.951,0.5515,0.8889,0.9933,0.7732,0.7854,0.7656,0.5501,0.7787,0.7459,False
6,1.0,True,0.5788,0.5929,0.6822,0.3178,0.655,0.6463,0.6993,0.6991,0.4987,0.7484,0.7338,False
7,1.0,True,0.8697,0.8889,0.8889,0.8,0.869,0.902,0.8109,0.7075,0.6689,0.8391,0.7738,False
8,1.0,True,0.7994,0.966,0.9934,0.2973,0.8903,0.85,0.8159,0.8548,0.4717,0.8048,0.7994,False
9,1.0,True,0.7942,0.9677,0.7889,0.8642,0.6425,0.7075,0.9409,0.8904,0.6538,0.8006,0.8198,False
10,1.0,True,0.837,0.9172,0.7255,0.8759,0.9065,0.7598,0.9503,0.8359,0.6791,0.8131,0.7724,False
