round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4265,0.4065,0.5952,0.2581,0.3529,0.5199,0.4065,0.5952,0.2581,0.3529,0.5199,False
2,1.0,True,0.5675,0.7742,0.7534,0.2319,0.4111,0.6667,0.5903,0.6743,0.245,0.382,0.5933,False
3,1.0,True,0.7266,0.7547,0.8921,0.4875,0.7473,0.7514,0.6451,0.7469,0.3258,0.5038,0.646,False
4,1.0,True,0.6454,0.511,0.7852,0.3852,0.7516,0.7939,0.68,0.8102,0.3682,0.6367,0.7373,False
5,1.0,True,0.8893,0.9865,0.9146,0.9286,0.6303,0.9865,0.7507,0.864,0.6004,0.7097,0.8439,False
6,1.0,True,0.6432,0.8333,0.6726,0.3043,0.6122,0.7935,0.7769,0.7908,0.5394,0.6647,0.858,False
7,1.0,True,0.8313,0.8722,0.7853,0.7288,0.9155,0.855,0.8973,0.7909,0.6539,0.7193,0.8783,False
8,1.0,True,0.7401,0.96,0.9474,0.2975,0.625,0.8707,0.8885,0.8018,0.4435,0.7176,0.8397,False
9,1.0,True,0.7581,0.8475,0.6794,0.7389,0.6577,0.8671,0.8932,0.804,0.5884,0.7327,0.8643,False
10,1.0,True,0.8688,0.882,0.9241,0.8759,0.8439,0.8182,0.8965,0.8503,0.6374,0.7089,0.852,False
