round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.5,True,0.4089,0.3641,0.5725,0.26,0.4698,0.3782,0.3641,0.5725,0.26,0.4698,0.3782,False
2,0.5,True,0.3651,0.3396,0.3504,0.1907,0.3644,0.5806,0.3519,0.4615,0.2253,0.4171,0.4794,False
3,0.5,True,0.738,0.9128,0.6169,0.576,0.814,0.7705,0.5388,0.5133,0.3422,0.5494,0.5764,True
4,0.5,True,0.6214,0.5083,0.915,0.2844,0.6182,0.7812,0.5869,0.6274,0.3504,0.5988,0.7108,True
5,0.5,True,0.8415,0.6122,0.8105,0.9128,0.9434,0.9286,0.6778,0.7808,0.5911,0.7918,0.8268,True
6,0.5,True,0.5627,0.5882,0.6522,0.3278,0.6122,0.633,0.5696,0.7926,0.5083,0.7246,0.7809,True
7,0.5,True,0.5391,0.5714,0.604,0.6364,0.5882,0.2955,0.5906,0.6889,0.6256,0.7146,0.619,True
8,0.5,True,0.7923,0.9209,0.9494,0.3133,0.8758,0.902,0.6935,0.7352,0.4258,0.6921,0.6101,True
9,0.5,True,0.7092,0.6266,0.6087,0.7614,0.6605,0.8889,0.7063,0.7207,0.5703,0.7082,0.6954,True
10,0.5,True,0.7818,0.9091,0.4473,0.9078,0.8662,0.7784,0.8189,0.6684,0.6608,0.8008,0.8564,True
