round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.1,True,0.4232,0.4178,0.5276,0.2162,0.4226,0.5319,0.4178,0.5276,0.2162,0.4226,0.5319,False
2,0.1,True,0.4486,0.3965,0.6047,0.2234,0.4607,0.5578,0.4072,0.5661,0.2198,0.4417,0.5449,False
3,0.1,True,0.7627,0.9,0.8841,0.5508,0.7059,0.7727,0.5714,0.6721,0.3301,0.5297,0.6208,False
4,0.1,True,0.5789,0.6051,0.7971,0.2411,0.5143,0.7368,0.6339,0.7619,0.3384,0.5603,0.6891,False
5,0.1,True,0.8717,0.9434,0.922,0.9051,0.731,0.8571,0.8162,0.8677,0.5657,0.6504,0.7889,False
6,0.1,True,0.6241,0.5172,0.7368,0.297,0.8295,0.74,0.6886,0.8186,0.4811,0.6916,0.778,False
7,0.1,True,0.5639,0.5714,0.6842,0.4211,0.5714,0.5714,0.6774,0.781,0.5411,0.7106,0.7229,False
8,0.1,True,0.785,0.9444,0.9595,0.284,0.8921,0.8451,0.6777,0.7935,0.334,0.7644,0.7188,False
9,0.1,True,0.773,0.6186,0.7711,0.8242,0.9116,0.7396,0.7115,0.8049,0.5098,0.7917,0.7187,False
10,0.1,True,0.9363,0.9796,0.9589,0.8889,0.9733,0.8806,0.8476,0.8965,0.6657,0.9257,0.8218,False
