round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.1,True,0.4232,0.4178,0.5276,0.2162,0.4226,0.5319,0.4178,0.5276,0.2162,0.4226,0.5319,False
2,0.1,True,0.4486,0.3965,0.6047,0.2234,0.4607,0.5578,0.4072,0.5661,0.2198,0.4417,0.5449,False
3,0.1,True,0.7627,0.9,0.8841,0.5508,0.7059,0.7727,0.5714,0.6721,0.3301,0.5297,0.6208,True
4,0.1,True,0.5789,0.6051,0.7971,0.2411,0.5143,0.7368,0.6339,0.7619,0.3384,0.5603,0.6891,True
5,0.1,True,0.873,0.9434,0.922,0.9051,0.7374,0.8571,0.8162,0.8677,0.5657,0.6525,0.7889,True
6,0.1,True,0.6232,0.5172,0.7368,0.297,0.8249,0.74,0.6886,0.8186,0.4811,0.6922,0.778,True
7,0.1,True,0.5639,0.5714,0.6842,0.4211,0.5714,0.5714,0.6774,0.781,0.5411,0.7112,0.7229,True
8,0.1,True,0.785,0.9444,0.9595,0.284,0.8921,0.8451,0.6777,0.7935,0.334,0.7628,0.7188,True
9,0.1,True,0.773,0.6186,0.7711,0.8242,0.9116,0.7396,0.7115,0.8049,0.5098,0.7917,0.7187,True
10,0.1,True,0.9363,0.9796,0.9589,0.8889,0.9733,0.8806,0.8476,0.8965,0.6657,0.9257,0.8218,True
11,0.1,True,0.5874,0.6073,0.8152,0.3311,0.7347,0.4485,0.7352,0.8484,0.6814,0.8732,0.6896,True
12,0.1,True,0.5439,0.6022,0.8256,0.2442,0.5427,0.5051,0.7297,0.8666,0.4881,0.7502,0.6114,True
13,0.1,True,0.7502,0.8889,0.6957,0.5577,0.7805,0.8281,0.6994,0.7788,0.3777,0.686,0.5939,True
14,0.1,True,0.7971,0.8182,0.7975,0.8088,0.8844,0.6766,0.7697,0.7729,0.5369,0.7359,0.67,True
15,0.1,True,0.6103,0.5279,0.8457,0.2332,0.6393,0.8052,0.745,0.7796,0.5332,0.768,0.77,True
16,0.1,True,0.4321,0.4231,0.6131,0.1798,0.5965,0.3483,0.5897,0.7521,0.4073,0.7067,0.61,True
17,0.1,True,0.5125,0.491,0.7531,0.1897,0.5635,0.565,0.4807,0.7373,0.2009,0.5998,0.5728,True
18,0.1,True,0.6591,0.9865,0.53,0.4865,0.7389,0.5535,0.6335,0.6321,0.2853,0.633,0.4889,True
19,0.1,True,0.53,0.5017,0.3896,0.8535,0.4438,0.4615,0.6597,0.5576,0.5099,0.5821,0.5267,True
20,0.1,True,0.7485,0.7069,0.7643,0.6809,0.7018,0.8889,0.7317,0.5613,0.6736,0.6281,0.6346,True
