round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.427,0.4155,0.6198,0.2163,0.4012,0.4823,0.4155,0.6198,0.2163,0.4012,0.4823,False
2,1.0,True,0.5812,0.8108,0.8105,0.2384,0.6705,0.376,0.6132,0.7151,0.2273,0.5359,0.4292,False
3,1.0,True,0.7239,0.7895,0.8414,0.3968,0.8951,0.6965,0.6719,0.7572,0.2838,0.6556,0.5183,True
4,1.0,True,0.6041,0.5381,0.8028,0.272,0.6077,0.8,0.7128,0.8182,0.3024,0.7245,0.6242,True
5,1.0,True,0.7637,0.9796,0.6383,0.9286,0.8092,0.463,0.7691,0.7608,0.5325,0.7707,0.6532,True
6,1.0,True,0.6487,0.7212,0.7778,0.3158,0.7143,0.7143,0.7463,0.7396,0.5054,0.7104,0.6591,True
7,1.0,True,0.8767,0.8806,0.9362,0.7377,0.913,0.9161,0.8604,0.7841,0.6607,0.8122,0.6978,True
8,1.0,True,0.8314,0.974,1.0,0.3827,0.9396,0.8606,0.8586,0.9046,0.4787,0.8556,0.8303,True
9,1.0,True,0.7866,0.8721,0.75,0.7692,0.8503,0.6912,0.9089,0.8954,0.6299,0.901,0.8227,True
10,1.0,True,0.8011,0.8235,0.6148,0.8889,0.9351,0.7432,0.8899,0.7883,0.6803,0.9083,0.765,True
