round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4459,0.3886,0.809,0.211,0.4032,0.4178,0.3886,0.809,0.211,0.4032,0.4178,False
2,1.0,True,0.5355,0.5374,0.6788,0.2048,0.6009,0.6554,0.463,0.7439,0.2079,0.5021,0.5366,False
3,1.0,True,0.7221,0.878,0.6269,0.3948,0.8485,0.8625,0.6014,0.7049,0.2702,0.6175,0.6452,True
4,1.0,True,0.6434,0.5797,0.8857,0.2222,0.6667,0.8627,0.6651,0.7305,0.2739,0.7053,0.7935,True
5,1.0,True,0.8662,0.9375,0.7895,0.8,0.9933,0.8108,0.7984,0.7674,0.4724,0.8361,0.8454,True
6,1.0,True,0.5306,0.5034,0.7437,0.3024,0.5882,0.5155,0.6735,0.8063,0.4415,0.7494,0.7297,True
7,1.0,True,0.8268,0.8889,0.7784,0.6842,0.9065,0.8758,0.7766,0.7705,0.5955,0.8293,0.734,True
8,1.0,True,0.7958,0.9444,0.8929,0.3678,0.8944,0.8795,0.7789,0.805,0.4515,0.7964,0.7569,True
9,1.0,True,0.7132,0.7075,0.6425,0.8642,0.6852,0.6667,0.847,0.7713,0.6387,0.8287,0.8073,True
10,1.0,True,0.7887,0.9865,0.6697,0.8857,0.7241,0.6772,0.8795,0.735,0.7059,0.7679,0.7411,True
11,1.0,True,0.5398,0.6024,0.7692,0.3112,0.6455,0.3706,0.7655,0.6938,0.687,0.6849,0.5715,True
12,1.0,True,0.6051,0.5377,0.8722,0.2419,0.6623,0.7113,0.7089,0.7704,0.4796,0.6773,0.5864,True
13,1.0,True,0.8512,0.9726,0.855,0.5714,0.9362,0.9209,0.7042,0.8321,0.3749,0.748,0.6676,True
14,1.0,True,0.8027,0.9733,0.8323,0.8,0.7312,0.6766,0.8279,0.8531,0.5378,0.7765,0.7696,True
15,1.0,True,0.577,0.6029,0.9867,0.2059,0.8025,0.2871,0.8496,0.8913,0.5258,0.8233,0.6282,True
16,1.0,True,0.4778,0.601,0.5478,0.2267,0.6154,0.3983,0.7257,0.7889,0.4109,0.7164,0.454,True
17,1.0,True,0.4621,0.4876,0.5263,0.306,0.4444,0.5463,0.5638,0.6869,0.2462,0.6208,0.4105,True
18,1.0,True,0.7754,0.9136,0.6818,0.5323,0.9554,0.7937,0.6674,0.5853,0.355,0.6717,0.5794,True
19,1.0,True,0.5033,0.4658,0.3521,0.8675,0.4155,0.4155,0.6223,0.5201,0.5686,0.6051,0.5851,True
20,1.0,True,0.9268,0.9536,0.9726,0.8421,0.9,0.9655,0.7777,0.6688,0.7473,0.757,0.7249,True
