round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4259,0.4239,0.5455,0.2387,0.4876,0.434,0.4239,0.5455,0.2387,0.4876,0.434,False
2,1.0,True,0.6394,0.8392,0.6381,0.2946,0.6952,0.7297,0.6315,0.5918,0.2667,0.5914,0.5819,False
3,1.0,True,0.7965,0.8824,0.8957,0.6386,0.7607,0.8054,0.7151,0.6931,0.3906,0.6479,0.6564,False
4,1.0,True,0.6583,0.5463,0.9664,0.4465,0.5,0.8321,0.7559,0.8334,0.4599,0.652,0.7891,False
5,1.0,True,0.8619,0.9726,0.5396,0.9286,0.9437,0.925,0.8004,0.8006,0.6712,0.7348,0.8542,False
6,1.0,True,0.5719,0.7075,0.5362,0.3,0.7389,0.5769,0.7421,0.6807,0.5584,0.7275,0.778,False
7,1.0,True,0.8641,0.9286,0.8152,0.7288,0.8889,0.9589,0.8696,0.6303,0.6525,0.8572,0.8203,False
8,1.0,True,0.8633,0.9045,1.0,0.6241,0.8777,0.9103,0.8469,0.7838,0.551,0.8352,0.8154,False
9,1.0,True,0.7304,0.7732,0.5769,0.7177,0.8068,0.7772,0.8687,0.7974,0.6902,0.8578,0.8822,False
10,1.0,True,0.7647,0.9388,0.5792,0.7903,0.8101,0.7051,0.8721,0.7187,0.7107,0.8315,0.7976,False
