round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.01,True,0.4223,0.4167,0.5214,0.2158,0.4201,0.5376,0.4167,0.5214,0.2158,0.4201,0.5376,False
2,0.01,True,0.4487,0.3982,0.6047,0.2234,0.4632,0.5541,0.4074,0.563,0.2196,0.4416,0.5458,False
3,0.01,True,0.7611,0.8944,0.8841,0.5485,0.7059,0.7727,0.5698,0.67,0.3292,0.5297,0.6215,False
4,0.01,True,0.5846,0.6122,0.7971,0.2478,0.5198,0.7463,0.635,0.7619,0.3399,0.5629,0.691,False
5,0.01,True,0.8689,0.9317,0.922,0.9051,0.7337,0.8523,0.8128,0.8677,0.5671,0.6531,0.7904,False
6,0.01,True,0.6212,0.5208,0.7292,0.2956,0.8202,0.74,0.6883,0.8161,0.4828,0.6912,0.7795,False
7,0.01,True,0.5518,0.5714,0.6239,0.4211,0.5714,0.5714,0.6746,0.7583,0.5406,0.7084,0.7212,False
8,0.01,True,0.7862,0.9444,0.9595,0.284,0.8921,0.8511,0.6789,0.7708,0.3335,0.7612,0.7208,False
9,0.01,True,0.7713,0.6186,0.7711,0.8193,0.9116,0.7358,0.7115,0.7848,0.5081,0.7917,0.7194,False
10,0.01,True,0.9376,0.9796,0.9589,0.8889,0.9799,0.8806,0.8476,0.8965,0.6641,0.9278,0.8225,False
