round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.5102,0.4121,0.8834,0.2638,0.4337,0.5578,0.4121,0.8834,0.2638,0.4337,0.5578,False
2,1.0,True,0.7599,0.8163,0.759,0.7651,0.6984,0.7606,0.6142,0.8212,0.5144,0.5661,0.6592,False
3,1.0,True,0.8046,0.7895,0.9209,0.7846,0.7857,0.7424,0.6726,0.8544,0.6045,0.6393,0.6869,True
4,1.0,True,0.6031,0.5381,0.8857,0.4301,0.4569,0.7049,0.7146,0.8552,0.6599,0.647,0.736,True
5,1.0,True,0.889,0.9796,0.9202,0.9664,0.6276,0.951,0.7691,0.9089,0.7271,0.6234,0.7995,True
6,1.0,True,0.6444,0.7246,0.5736,0.3,0.8163,0.8072,0.7474,0.7932,0.5655,0.6336,0.8211,True
7,1.0,True,0.8225,0.8806,0.8066,0.8462,0.8189,0.7603,0.8616,0.7668,0.7042,0.7543,0.8395,True
8,1.0,True,0.9279,0.9804,0.9796,0.913,0.8774,0.8889,0.8619,0.7866,0.6864,0.8375,0.8188,True
9,1.0,True,0.7148,0.8671,0.5615,0.7389,0.448,0.9583,0.9093,0.7826,0.8327,0.7148,0.8692,True
10,1.0,True,0.8306,0.8284,0.8,0.7705,0.8588,0.8951,0.8919,0.7804,0.8075,0.7281,0.9141,True
