round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4888,0.3957,0.8268,0.2236,0.4286,0.5692,0.3957,0.8268,0.2236,0.4286,0.5692,False
2,1.0,True,0.5779,0.7547,0.8421,0.2568,0.6533,0.3828,0.5752,0.8345,0.2402,0.5409,0.476,False
3,1.0,True,0.7383,0.75,0.922,0.5852,0.8406,0.5939,0.6335,0.8636,0.3552,0.6408,0.5153,True
4,1.0,True,0.6183,0.511,0.8611,0.3344,0.5616,0.8235,0.6719,0.8751,0.3921,0.6851,0.6001,True
5,1.0,True,0.8718,0.9865,0.7732,0.8889,0.9209,0.7895,0.7492,0.8521,0.6028,0.7743,0.7356,True
6,1.0,True,0.638,0.8287,0.6393,0.3086,0.7614,0.6522,0.7754,0.7579,0.5107,0.748,0.7551,True
7,1.0,True,0.8653,0.8722,0.8372,0.8095,0.9143,0.8933,0.8958,0.7499,0.669,0.8655,0.7783,True
8,1.0,True,0.7906,0.9737,0.9677,0.3433,0.8904,0.7778,0.8915,0.8147,0.4872,0.8554,0.7744,True
9,1.0,True,0.7752,0.8475,0.6884,0.8383,0.8202,0.6818,0.8978,0.8311,0.6637,0.875,0.7843,True
10,1.0,True,0.8114,0.8712,0.7048,0.8857,0.8636,0.732,0.8974,0.787,0.6891,0.8581,0.7305,True
