round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4362,0.3555,0.5929,0.2495,0.4438,0.5393,0.3555,0.5929,0.2495,0.4438,0.5393,False
2,1.0,True,0.606,0.4555,0.8052,0.2378,0.7865,0.7451,0.4055,0.699,0.2436,0.6152,0.6422,False
3,1.0,True,0.7248,0.9494,0.8553,0.381,0.7143,0.7241,0.5868,0.7511,0.2894,0.6482,0.6695,False
4,1.0,True,0.6533,0.6429,0.7395,0.3947,0.6632,0.8261,0.6826,0.8,0.3378,0.7213,0.7651,False
5,1.0,True,0.789,0.6303,0.4478,0.9078,0.966,0.9933,0.7408,0.6808,0.5612,0.7812,0.8478,False
6,1.0,True,0.6276,0.4902,0.9241,0.3304,0.7353,0.6579,0.5878,0.7038,0.5443,0.7882,0.8258,False
7,1.0,True,0.8986,0.9286,0.9583,0.7903,0.9209,0.8951,0.683,0.7767,0.6762,0.874,0.8488,False
8,1.0,True,0.8,0.9595,0.8722,0.4336,0.8488,0.8859,0.7927,0.9182,0.5181,0.835,0.813,False
9,1.0,True,0.7876,0.6173,0.8,0.8284,0.9317,0.7604,0.8351,0.8768,0.6841,0.9005,0.8471,False
10,1.0,True,0.8437,0.8916,0.7732,0.8873,0.8187,0.8477,0.8228,0.8151,0.7164,0.8664,0.8313,False
