round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4047,0.4011,0.4762,0.2642,0.4396,0.4425,0.4011,0.4762,0.2642,0.4396,0.4425,False
2,1.0,True,0.5773,0.8163,0.7821,0.2143,0.6462,0.4275,0.6087,0.6291,0.2393,0.5429,0.435,False
3,1.0,True,0.7549,0.8,0.9065,0.4609,0.805,0.8023,0.6725,0.7216,0.3131,0.6303,0.5574,False
4,1.0,True,0.5904,0.5405,0.7097,0.439,0.5474,0.7154,0.719,0.7994,0.3714,0.6662,0.6484,False
5,1.0,True,0.8007,0.9796,0.7812,0.9296,0.8743,0.4386,0.7734,0.7991,0.6098,0.7422,0.6521,False
6,1.0,True,0.7092,0.7212,0.7461,0.3061,0.8065,0.966,0.7471,0.7457,0.5582,0.7427,0.7067,False
7,1.0,True,0.8672,0.8806,0.8554,0.7705,0.9241,0.9051,0.8604,0.7943,0.6687,0.8683,0.7699,False
8,1.0,True,0.7922,0.9804,0.9041,0.3855,0.8022,0.8889,0.8607,0.8352,0.4874,0.8443,0.92,False
9,1.0,True,0.785,0.8671,0.7374,0.7895,0.7246,0.8065,0.9093,0.8323,0.6485,0.817,0.8668,False
10,1.0,True,0.816,0.8284,0.9193,0.8921,0.8343,0.6058,0.8919,0.8536,0.689,0.787,0.767,False
