round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,False,0.4389,0.4144,0.6094,0.2659,0.3713,0.5333,1.0,1.0,1.0,1.0,1.0,False
2,1.0,False,0.6221,0.8,0.777,0.2482,0.5846,0.7006,1.0,1.0,1.0,1.0,1.0,False
3,1.0,False,0.7158,0.7595,0.8905,0.4372,0.7531,0.7385,1.0,1.0,1.0,1.0,1.0,True
4,1.0,False,0.6706,0.5357,0.8971,0.3855,0.75,0.7846,1.0,1.0,1.0,1.0,1.0,True
5,1.0,False,0.8407,0.9796,0.8333,0.9231,0.53,0.9375,1.0,1.0,1.0,1.0,1.0,True
6,1.0,False,0.7079,0.7212,0.9167,0.3006,0.8722,0.7291,1.0,1.0,1.0,1.0,1.0,True
7,1.0,False,0.7927,0.8806,0.8889,0.7069,0.5981,0.8889,1.0,1.0,1.0,1.0,1.0,True
8,1.0,False,0.8458,0.9804,0.9867,0.4817,0.9371,0.8434,1.0,1.0,1.0,1.0,1.0,True
9,1.0,False,0.7548,0.8721,0.8806,0.7246,0.4681,0.8287,1.0,1.0,1.0,1.0,1.0,True
10,1.0,False,0.826,0.8284,0.9673,0.8889,0.7684,0.6768,1.0,1.0,1.0,1.0,1.0,True
