round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4131,0.3731,0.5357,0.2318,0.3913,0.5338,0.3731,0.5357,0.2318,0.3913,0.5338,False
2,1.0,True,0.5265,0.5172,0.6321,0.2445,0.6829,0.5556,0.4452,0.5839,0.2381,0.5371,0.5447,False
3,1.0,True,0.7379,0.7949,0.9726,0.4072,0.806,0.7086,0.5617,0.7135,0.2945,0.6267,0.5993,False
4,1.0,True,0.5987,0.5911,0.7538,0.3483,0.5746,0.7258,0.6344,0.7862,0.3333,0.6878,0.6633,False
5,1.0,True,0.8936,0.8523,0.9536,0.855,0.9452,0.8621,0.7461,0.8934,0.5368,0.7753,0.7655,False
6,1.0,True,0.619,0.566,0.5792,0.2411,0.8795,0.8293,0.6698,0.7622,0.4814,0.7998,0.8057,False
7,1.0,True,0.8387,0.8722,0.7407,0.7705,0.913,0.8971,0.7635,0.7578,0.6222,0.9126,0.8628,False
8,1.0,True,0.7622,0.9396,0.8806,0.195,0.8696,0.9262,0.7926,0.7335,0.4022,0.8874,0.8842,False
9,1.0,True,0.8,0.6916,0.6147,0.8861,0.9146,0.8929,0.8345,0.7454,0.6172,0.8991,0.9054,False
10,1.0,True,0.8892,0.9427,0.8649,0.9,0.9669,0.7717,0.858,0.7867,0.6603,0.917,0.8636,False
