round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,1.0,True,0.4696,0.4011,0.9036,0.145,0.3966,0.5017,0.4011,0.9036,0.145,0.3966,0.5017,False
2,1.0,True,0.7103,0.7843,0.8138,0.6571,0.6207,0.6755,0.5927,0.8587,0.4011,0.5086,0.5886,False
3,1.0,True,0.7057,0.75,0.8824,0.2778,0.8101,0.8082,0.6451,0.8666,0.36,0.6091,0.6618,True
4,1.0,True,0.6653,0.4804,0.8571,0.2623,0.9041,0.8227,0.6716,0.8511,0.3991,0.7783,0.7688,True
5,1.0,True,0.7337,0.8722,0.8523,0.3333,0.7282,0.8824,0.7009,0.8639,0.2911,0.8141,0.8378,True
6,1.0,True,0.6577,0.75,0.8876,0.2993,0.8065,0.5455,0.7009,0.8657,0.2983,0.8129,0.7502,True
7,1.0,True,0.8427,0.8636,0.8929,0.6957,0.922,0.8392,0.8286,0.8776,0.4427,0.8189,0.7557,True
8,1.0,True,0.808,0.9655,0.9412,0.3683,0.8721,0.8931,0.8597,0.9072,0.4544,0.8668,0.7592,True
9,1.0,True,0.6574,0.5577,0.7653,0.5577,0.6818,0.7246,0.7956,0.8664,0.5405,0.8253,0.819,True
10,1.0,True,0.7583,0.953,0.7327,0.75,0.73,0.6256,0.8254,0.8131,0.5586,0.7613,0.7478,True
